EPISODE	TIME_STEP_TOTAL	REWARD_TOTAL
1428	103	103.0
1429	136	136.0
1430	105	105.0
1431	116	116.0
1432	123	123.0
1433	41	41.0
1434	107	107.0
1435	108	108.0
1436	132	132.0
1437	116	116.0
1438	142	142.0
1439	115	115.0
1440	200	200.0
1441	200	200.0
1442	200	200.0
1443	200	200.0
1444	200	200.0
1445	175	175.0
1446	200	200.0
1447	199	199.0
1448	200	200.0
1449	200	200.0
1450	155	155.0
1451	138	138.0
1452	150	150.0
1453	115	115.0
1454	117	117.0
1455	123	123.0
1456	37	37.0
1457	123	123.0
1458	112	112.0
1459	147	147.0
1460	137	137.0
1461	109	109.0
1462	154	154.0
1463	200	200.0
1464	200	200.0
1465	153	153.0
1466	200	200.0
1467	167	167.0
1468	188	188.0
1469	143	143.0
1470	122	122.0
1471	125	125.0
1472	130	130.0
1473	200	200.0
1474	129	129.0
1475	200	200.0
1476	148	148.0
1477	121	121.0
1478	146	146.0
1479	200	200.0
1480	135	135.0
1481	118	118.0
1482	200	200.0
1483	116	116.0
1484	200	200.0
1485	101	101.0
1486	153	153.0
1487	121	121.0
1488	200	200.0
1489	200	200.0
1490	131	131.0
1491	111	111.0
1492	137	137.0
1493	136	136.0
1494	151	151.0
1495	119	119.0
1496	129	129.0
1497	114	114.0
1498	200	200.0
1499	130	130.0
1500	132	132.0
1501	200	200.0
1502	124	124.0
1503	123	123.0
1504	200	200.0
1505	152	152.0
1506	200	200.0
1507	126	126.0
1508	145	145.0
1509	200	200.0
1510	125	125.0
1511	133	133.0
1512	106	106.0
1513	104	104.0
1514	139	139.0
1515	106	106.0
1516	124	124.0
1517	111	111.0
1518	102	102.0
1519	115	115.0
1520	100	100.0
1521	129	129.0
1522	106	106.0
1523	115	115.0
1524	101	101.0
1525	125	125.0
1526	108	108.0
1527	47	47.0
1528	41	41.0
1529	48	48.0
1530	104	104.0
1531	40	40.0
1532	114	114.0
1533	110	110.0
1534	112	112.0
1535	200	200.0
1536	128	128.0
1537	115	115.0
1538	131	131.0
1539	127	127.0
1540	112	112.0
1541	200	200.0
1542	200	200.0
1543	200	200.0
1544	138	138.0
1545	200	200.0
1546	200	200.0
1547	121	121.0
1548	110	110.0
1549	118	118.0
1550	200	200.0
1551	116	116.0
1552	129	129.0
1553	200	200.0
1554	200	200.0
1555	102	102.0
1556	200	200.0
1557	200	200.0
1558	200	200.0
1559	132	132.0
1560	116	116.0
1561	136	136.0
1562	29	29.0
1563	104	104.0
1564	200	200.0
1565	123	123.0
1566	200	200.0
1567	119	119.0
1568	200	200.0
1569	135	135.0
1570	200	200.0
1571	200	200.0
1572	200	200.0
1573	200	200.0
1574	200	200.0
1575	200	200.0
1576	200	200.0
1577	200	200.0
1578	200	200.0
1579	200	200.0
1580	200	200.0
1581	200	200.0
1582	200	200.0
1583	200	200.0
1584	200	200.0
1585	200	200.0
1586	200	200.0
1587	200	200.0
1588	200	200.0
1589	200	200.0
1590	200	200.0
1591	200	200.0
1592	200	200.0
1593	200	200.0
1594	200	200.0
1595	200	200.0
1596	200	200.0
1597	200	200.0
1598	200	200.0
1599	200	200.0
1600	200	200.0
1601	200	200.0
1602	200	200.0
1603	200	200.0
1604	200	200.0
1605	200	200.0
1606	200	200.0
1607	200	200.0
1608	200	200.0
1609	200	200.0
