EPISODE	TIME_STEP_TOTAL	REWARD_TOTAL
1495	193	193.0
1496	200	200.0
1497	199	199.0
1498	200	200.0
1499	200	200.0
1500	200	200.0
1501	200	200.0
1502	200	200.0
1503	200	200.0
1504	200	200.0
1505	200	200.0
1506	200	200.0
1507	200	200.0
1508	200	200.0
1509	171	171.0
1510	193	193.0
1511	178	178.0
1512	185	185.0
1513	200	200.0
1514	200	200.0
1515	180	180.0
1516	172	172.0
1517	171	171.0
1518	192	192.0
1519	200	200.0
1520	200	200.0
1521	200	200.0
1522	200	200.0
1523	200	200.0
1524	200	200.0
1525	199	199.0
1526	200	200.0
1527	168	168.0
1528	200	200.0
1529	200	200.0
1530	198	198.0
1531	200	200.0
1532	200	200.0
1533	140	140.0
1534	34	34.0
1535	200	200.0
1536	118	118.0
1537	170	170.0
1538	151	151.0
1539	161	161.0
1540	139	139.0
1541	162	162.0
1542	177	177.0
1543	198	198.0
1544	200	200.0
1545	169	169.0
1546	148	148.0
1547	200	200.0
1548	159	159.0
1549	200	200.0
1550	200	200.0
1551	134	134.0
1552	110	110.0
1553	200	200.0
1554	186	186.0
1555	188	188.0
1556	170	170.0
1557	186	186.0
1558	171	171.0
1559	177	177.0
1560	174	174.0
1561	159	159.0
1562	200	200.0
1563	167	167.0
1564	176	176.0
1565	200	200.0
1566	196	196.0
1567	171	171.0
1568	193	193.0
1569	200	200.0
1570	188	188.0
1571	200	200.0
1572	200	200.0
1573	200	200.0
1574	200	200.0
1575	200	200.0
1576	200	200.0
1577	195	195.0
1578	200	200.0
1579	200	200.0
1580	200	200.0
1581	200	200.0
1582	200	200.0
1583	200	200.0
1584	200	200.0
1585	200	200.0
1586	200	200.0
1587	200	200.0
1588	200	200.0
1589	200	200.0
1590	200	200.0
1591	200	200.0
1592	73	73.0
1593	23	23.0
1594	30	30.0
1595	10	10.0
1596	33	33.0
1597	95	95.0
1598	200	200.0
1599	200	200.0
1600	200	200.0
1601	200	200.0
1602	200	200.0
1603	200	200.0
1604	200	200.0
1605	200	200.0
1606	163	163.0
1607	175	175.0
1608	162	162.0
1609	181	181.0
1610	137	137.0
1611	194	194.0
1612	185	185.0
1613	164	164.0
1614	192	192.0
1615	178	178.0
1616	167	167.0
1617	200	200.0
1618	160	160.0
1619	200	200.0
1620	200	200.0
1621	200	200.0
1622	200	200.0
1623	200	200.0
1624	195	195.0
1625	200	200.0
1626	200	200.0
1627	200	200.0
1628	200	200.0
1629	200	200.0
1630	200	200.0
1631	200	200.0
1632	200	200.0
1633	200	200.0
1634	200	200.0
1635	200	200.0
1636	200	200.0
1637	200	200.0
1638	200	200.0
1639	200	200.0
1640	200	200.0
1641	200	200.0
1642	200	200.0
1643	180	180.0
1644	161	161.0
1645	144	144.0
1646	176	176.0
1647	16	16.0
1648	127	127.0
