EPISODE	TIME_STEPS_TAKEN	TOTAL_REWARD
1058	200.0	200
1059	18.0	18
1060	147.0	147
1061	200.0	200
1062	136.0	136
1063	160.0	160
1064	195.0	195
1065	200.0	200
1066	200.0	200
1067	160.0	160
1068	134.0	134
1069	183.0	183
1070	196.0	196
1071	200.0	200
1072	163.0	163
1073	173.0	173
1074	195.0	195
1075	200.0	200
1076	200.0	200
1077	200.0	200
1078	182.0	182
1079	167.0	167
1080	173.0	173
1081	158.0	158
1082	157.0	157
1083	147.0	147
1084	156.0	156
1085	165.0	165
1086	150.0	150
1087	119.0	119
1088	167.0	167
1089	147.0	147
1090	121.0	121
1091	124.0	124
1092	157.0	157
1093	120.0	120
1094	125.0	125
1095	152.0	152
1096	128.0	128
1097	125.0	125
1098	119.0	119
1099	138.0	138
1100	142.0	142
1101	124.0	124
1102	166.0	166
1103	141.0	141
1104	134.0	134
1105	137.0	137
1106	128.0	128
1107	125.0	125
1108	46.0	46
1109	200.0	200
1110	181.0	181
1111	156.0	156
1112	150.0	150
1113	140.0	140
1114	143.0	143
1115	147.0	147
1116	143.0	143
1117	153.0	153
1118	188.0	188
1119	78.0	78
1120	200.0	200
1121	115.0	115
1122	200.0	200
1123	178.0	178
1124	174.0	174
1125	186.0	186
1126	200.0	200
1127	127.0	127
1128	123.0	123
1129	160.0	160
1130	200.0	200
1131	128.0	128
1132	44.0	44
1133	118.0	118
1134	162.0	162
1135	178.0	178
1136	146.0	146
1137	200.0	200
1138	152.0	152
1139	186.0	186
1140	131.0	131
1141	144.0	144
1142	133.0	133
1143	184.0	184
1144	144.0	144
1145	168.0	168
1146	152.0	152
1147	137.0	137
1148	159.0	159
1149	144.0	144
1150	149.0	149
1151	137.0	137
1152	137.0	137
1153	133.0	133
1154	160.0	160
1155	150.0	150
1156	139.0	139
1157	138.0	138
1158	138.0	138
1159	136.0	136
1160	11.0	11
1161	144.0	144
1162	147.0	147
1163	126.0	126
1164	150.0	150
1165	173.0	173
1166	156.0	156
1167	131.0	131
1168	156.0	156
1169	139.0	139
1170	139.0	139
1171	150.0	150
1172	145.0	145
1173	139.0	139
1174	138.0	138
1175	145.0	145
1176	147.0	147
1177	147.0	147
1178	136.0	136
1179	138.0	138
1180	139.0	139
1181	145.0	145
1182	146.0	146
1183	142.0	142
1184	136.0	136
1185	139.0	139
1186	128.0	128
1187	132.0	132
1188	145.0	145
1189	142.0	142
1190	130.0	130
1191	167.0	167
1192	127.0	127
1193	154.0	154
1194	155.0	155
1195	149.0	149
1196	146.0	146
1197	148.0	148
1198	150.0	150
1199	143.0	143
